port,tx\_rate\_l1,tx\_rate\_l2,rx\_rate\_l1,rx\_rate\_l2
132,99.7900491764,97.8856589249,76.3341835939,74.877424365
140,99.7900519705,97.8856616657,76.3341814693,74.877422281
148,99.7900475061,97.8856572865,76.3341829065,74.8774236907
156,99.7900499027,97.8856596374,76.3341778684,74.8774187488
164,99.7900492026,97.8856589506,76.3341825248,74.8774233163
172,99.7900481065,97.8856578755,76.3341831227,74.8774239028
180,99.7900518707,97.8856615678,76.3341845099,74.8774252636
188,99.7900515201,97.8856612239,76.3341762018,74.877417114
128,99.7900482047,97.8856579717,76.3345760379,74.8778093196
136,99.7900501023,97.8856598332,76.3345759616,74.8778092447
144,99.7900475781,97.8856573571,76.3345804018,74.8778136002
152,99.7900484059,97.8856581691,76.3345793331,74.8778125519
160,99.790050099,97.88565983,76.3345809868,74.8778141741
168,99.7900495875,97.8856593282,76.3345822973,74.8778154596
176,99.7900464804,97.8856562804,76.3345797911,74.8778130012
184,99.7900484026,97.8856581659,76.334580618,74.8778138123
