port,tx\_rate\_l1,tx\_rate\_l2,rx\_rate\_l1,rx\_rate\_l2
132,99.7900491764,97.8856589249,76.3341835939,74.877424365
140,99.7900519705,97.8856616657,76.3341814693,74.877422281
148,99.7900475061,97.8856572865,76.3341829065,74.8774236907
156,99.7900499027,97.8856596374,76.3341778684,74.8774187488
164,99.7900492026,97.8856589506,76.3341825248,74.8774233163
172,99.7900481065,97.8856578755,76.3341831227,74.8774239028
180,99.7900518707,97.8856615678,76.3341845099,74.8774252636
188,99.7900515201,97.8856612239,76.3341762018,74.877417114
132,99.7900486774,97.8856584355,76.3341850443,74.8774257877
140,99.7900473802,97.885657163,76.3341846626,74.8774254133
148,99.7900485776,97.8856583376,76.3341848153,74.8774255631
156,99.7900524694,97.8856621551,76.3341830596,74.8774238409
164,99.7900516711,97.8856613721,76.3341915963,74.8774322146
172,99.790046981,97.8856567714,76.3341837466,74.8774245148
180,99.7900482783,97.8856580439,76.3341845099,74.8774252636
188,99.7900455839,97.885655401,76.3341844336,74.8774251887
